model,model_base,quant,model_org,model_repo,runner_type,gpu_name,gpu_vram_gb,gpu_driver,gpu_count,gpu_names,gpu_total_vram_gb,backends,cpu_model,n_ctx,n_batch,split_mode,tensor_split,concurrent_users,throughput_tok_s,avg_power_w,max_power_w,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,avg_fan_speed_rpm,max_fan_speed_rpm,avg_ttft_ms,p50_ttft_ms,p99_ttft_ms,avg_itl_ms,p50_itl_ms,p99_itl_ms,os_system,os_release,os_machine,cpu_cores,ram_total_gb,submitter,timestamp,submitted_at,schema_version,benchmark_version,suite_run_id,submission_id,row_id,machine_fingerprint,run_fingerprint,result_fingerprint,source_file_sha256
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,512,,,1,50.49,56.0,61.1,60.3,67.0,67.1,75.6,2,2,76.3,62.58,175.5,19.56,19.51,21.16,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:05:18.281838+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,62c6306202a949cf8c8c5a914331533d,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,3f9783cee8c318a497002f0cfa296d96169bdf95c6eab93541a01c3bcee2a4c0,c936bf37a76cb1f32ee0dd639e8d8a39b878394207001c5af90481a51fcdc5cb,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,2048,1024,,,1,50.22,60.7,63.6,70.6,73.0,79.1,81.7,2,2,83.83,62.85,223.44,19.62,19.58,21.15,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:06:05.427738+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,4a7e5b829bc44a03a37f79ca4689093f,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,38ec940c9bad6864173d4cb5db2f5b636e0605b67c0ba5cbb40c9dd5f53ef746,850a8f189153189689b422c08f96c08879d686a3227680db5edb44f89f19904d,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,8192,512,,,1,50.46,60.0,64.2,72.7,75.0,80.8,82.7,2,2,70.37,63.39,176.42,19.6,19.56,21.11,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:06:55.845361+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,ada384e35b5c44d88beeed55a97f3079,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,f5d8c447941aa858f701286d0b9772b61e6db843124f1d6698bb566a30ad560e,16a8ef61a21cd41a3f490d48fc43c6eb2bc0a8e1875be49acba67d40afbe3cb3,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,8192,1024,,,1,50.23,62.2,63.3,75.0,76.0,82.8,84.7,2,2,83.54,64.84,223.44,19.63,19.56,21.36,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:07:44.155610+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,82858a292cd74fecb8bd2a093359d87e,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,ee7f3d88b88c6edc9b0f632fde8df68fe1eac59224c1a86e7c41228d7648de6c,80b76ded886e6acf9455b5a9fdaa1237366fe451fcff36920cac612696b11659,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,32768,512,,,1,50.44,60.5,65.0,75.5,77.0,82.5,84.6,2,2,70.97,62.85,176.97,19.62,19.57,21.53,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:08:37.668774+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,f901ed0293304081b73b48316e6580ed,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,d24d1442e6c5dd360070bcacfc7204aa74df58feb1608865e33ed22e4c0f9be1,222de95575a520d060a581f28ea2537ae990c3c57286a082616af9eabca55e73,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,32768,1024,,,1,50.19,63.0,64.6,77.5,80.0,85.2,85.8,2,2,84.54,66.17,224.38,19.64,19.6,21.32,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:09:26.006401+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,e84cc359fd9a4c95a1aaeca60c31f607,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,9dfe25e59616664258839b671d2e589b27ecc8a4eb157923f46c389cad7e033c,f4ef3435ed89f76d76329c247f744f059eee8442859de9caf6f6d18262f1dcb8,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,65536,512,,,1,50.37,61.3,66.1,77.6,81.0,85.3,86.8,2,2,71.69,64.12,177.09,19.63,19.59,21.37,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:10:16.965659+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,dbd73ec3f6c349c3b898a7f229d2ec16,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,5f54b23c4071d4fd39f25e302e7aba106d83df0ad4827649bd3a1d70e8359cd1,68f6995199f2a5ded1499f3d55e468192793b1d2df1b3e9405b62d5cb0bbd114,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,65536,1024,,,1,50.15,63.9,65.1,79.4,80.0,86.7,87.7,2,2,85.05,65.53,224.97,19.66,19.61,21.4,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:11:05.694065+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,888cad094a614d938225460a6fa88ab4,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,7ead00996568d18f504c24ada69e8615e99816375dac0b02a85f7ae7c9ea889e,8d4c5d65438fa080fc672a10d8bfba49b50fc5bda10441c3b608eef132d9cd41,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,130064,512,,,1,50.39,62.3,66.9,79.4,81.0,86.5,87.8,2,2,71.4,62.8,177.69,19.64,19.6,21.49,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:11:59.300920+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,9abdbc7caeae4102af8cba51a2b786f9,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,31ec77ea6c073e140146ef3b72758545eddae621209865c2a247851b05465c87,21d627437df5076d1a3f71edda1d2369cf95f4280958d19123eb7998d123e4b5,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
unsloth/Qwen3.5-9B-GGUF/Qwen3.5-9B-UD-IQ2_M.gguf,Qwen3.5-9B-UD,IQ2_M,unsloth,unsloth/Qwen3.5-9B-GGUF,llama-server,NVIDIA GB10,,580.126.09,1,NVIDIA GB10,,CUDA,,130064,1024,,,1,50.14,64.7,65.8,80.8,82.0,88.6,89.7,2,2,84.04,65.96,228.16,19.67,19.62,21.5,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-27T22:12:47.819451+00:00,2026-03-27T23:53:20.745453+00:00,0.1.0,0.1.0,d31c6f1e025b401aa79cc8fb5638a539,61a28ba4686646baac9fc51aea0ce0d0,7986694cea684c63acfa06c9283451d6,366a3782387869083a27b667096f7469f6cfacf82e94219a5c8e1ebc9da15cd5,cdfa9585c2b0be4f0098952e93c64c38745acef49c7283959059bebba69ad447,08c6303ed69b577573eb62d93774889d8825bb819cdce1707c5cf4cc47316dad,837471c64ef05689d7848f35510a804c9561a7d46d5ac8c6c29176c611850e6a
