model,model_base,quant,runner_type,gpu_name,gpu_vram_gb,gpu_driver,backends,cpu_model,n_ctx,n_batch,concurrent_users,throughput_tok_s,avg_power_w,max_power_w,avg_ttft_ms,p50_ttft_ms,p99_ttft_ms,avg_itl_ms,p50_itl_ms,p99_itl_ms,os_system,os_release,os_machine,cpu_cores,ram_total_gb,submitter,timestamp,submitted_at,schema_version,benchmark_version,submission_id,row_id,machine_fingerprint,run_fingerprint,result_fingerprint,source_file_sha256
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,512,1,120.88,,,32.32,32.18,52.18,8.16,8.13,9.31,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:07:30.742681+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,71872a4e552943289369c6874821b487,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,bc6112dbc1045c1ae0e0139b8cbbdf8bfb96eeea85580f6ecca6b106bb2e50e9,d565167f20ff301e693a05a89d2cb4b296a17aa467b97c09c2d7edc3e98686ba,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,512,2,135.03,,,68.83,67.49,113.21,13.95,10.56,21.11,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:08:08.960567+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,3524d918568b4cb991faa1a6f651324d,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,0da8e7a82d802f9f3590d9c19e201c03ce746c17d6ed86cc638c3e60b883df5d,4214fab1540d9e84b50e504d8c44da021a881a8be41c10b0c2583743f8f98bf7,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,512,4,255.07,,,92.36,90.23,145.2,14.84,14.01,48.71,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:08:54.618869+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,75d3c3f5332245f68ff003d85029c89d,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,c9716f671303debf9f5c3dd905aaff93584b7a20e31f218bf39f0df22912db25,fa33ed28ca01b965e530c2b64c273de619c7bc4b47e1baff3d0c3389e4d42ac7,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,512,8,269.88,,,3229.21,3789.59,3895.09,14.17,13.76,17.4,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:10:10.306059+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,df9b9c0e91324f4d8c997be6c3b721e3,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,7d9a016f594a74a5a7894a3182f6e1f65cbb66661313c426a2e0d132e8e88580,dfd7f56c543c5073ff54ed27e0a43caf8afab523e202a1aca56b85158fe36ca2,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,512,16,263.4,,,10643.2,11572.69,11782.61,14.84,14.24,52.57,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:12:47.110761+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,67f1ad987d8d4962b7f7a07a72cb52f0,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,202e2455eb678f1cc3de47b6b629cb44654d1334c7cf1ca0cd57125222086159,ebdbdd2cc105225e551b1a6df8b54fd86b81a5f04d2ecd871884ae34f4d305b4,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,512,32,263.55,,,24173.74,25862.39,27697.88,14.85,14.35,18.78,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:17:45.756384+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,a48e25857d094a6890acec3abe3a8fa5,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,d3448c789e3d51bc79defe0894919f061255cc2c8c73d3c6fdd26966e3f28189,3d2a98fd62e99052658f65f49d8dcfc37e4afed6b5b08d18a4dfc293e29a7e09,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,1024,1,119.82,,,31.08,30.56,51.98,8.25,8.22,9.29,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:18:09.069678+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,385b48ca2d5646768f66efbb66dc3004,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,61270c78074af33ef14877b539ec4b8f6895e287c0da9579615c83cf167bc6be,f204d509ac46db7ec69d070121c702d2d6a0f561311bfaa596e6f9727d463267,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,1024,2,176.58,,,80.87,78.27,125.05,10.86,10.45,20.53,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:18:38.398991+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,3258329cf1f24d59bcb1a7cfdcf9e7a3,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,586a6ae9064c5c7dfc834e5cb66b1c5214b85e68f277c70e10b93bc3053121c0,dc5f6e7126b37b79199b56abd3117c2ac17484fb11af9fe709cbfb7f334186f1,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,1024,4,251.94,,,123.33,125.96,171.02,14.54,13.88,20.39,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:19:25.050334+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,df8924a047774247940637f9bde230ff,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,cc7d1865b13dfc717aed9f4c6cb2e19d6e2dfd213714766772add9518b88fb4a,b58d67bba585237fb442a12ed813648ecc932b7ca495fd85e1283d7021e8dc92,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
unsloth/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-BF16.gguf,Qwen3.5-0.8B,BF16,llama-server,NVIDIA GB10,119.6,580.126.09,CUDA 13.0,,2048,1024,8,267.58,,,3388.99,3760.08,3862.21,14.44,13.66,51.57,Linux,6.17.0-1008-nvidia,aarch64,20,119.6,Paul Lee,2026-03-10T00:20:44.602299+00:00,2026-03-11T15:02:49.921489+00:00,2,0.1.0,b77a9562c3024dc5813cd11b6f13db12,8ed98ee3437c490b88516359a033179f,bc679e9556c276eab3d0e3f42b8e12dc3e6187dc995364ee2b81f95a39d75c62,643bcf52423537226245ab8cf76db99f6524b403af006aa7fa217639a29c2d79,88f7ad9eee152b84f1f2745ef7b4fd5cdb6d2d42a1682c9d8f788ea1f0de94fa,234652c854ad44287910989b868714ee79dd0a611b3e6387f6501977e2df43b4
